register,deployment_ratio,ai_fraction,precision_at_90_recall,precision_at_95_recall,deployment_precision,deployment_f1,threshold_90_recall
academic,1:1,0.5,0.7034611786716558,0.5804681784930504,0.9342690766998882,0.917404723036185,0.24
academic,1:10,0.09090909090909091,0.7034611786716558,0.5804681784930504,0.5870079222651637,0.7109185076572636,0.24
academic,1:100,0.009900990099009901,0.7034611786716558,0.5804681784930504,0.12444706283418258,0.21869270040408714,0.24
academic,1:1000,0.000999000999000999,0.7034611786716558,0.5804681784930504,0.01401434606862184,0.027599470031453115,0.24
news,1:1,0.5,0.9327809425168306,0.8994508615792464,0.9327809425168307,0.9164080386670058,0.62
news,1:10,0.09090909090909091,0.9327809425168306,0.8994508615792464,0.5811822405782138,0.7064637590210229,0.62
news,1:100,0.009900990099009901,0.9327809425168306,0.8994508615792464,0.12185749465537304,0.2146687960336567,0.62
news,1:1000,0.000999000999000999,0.9327809425168306,0.8994508615792464,0.013686805287489778,0.026963829666200603,0.62
social,1:1,0.5,0.8063301353895813,0.7165811707905854,0.8063301353895813,0.8502812839786319,0.37
social,1:10,0.09090909090909091,0.8063301353895813,0.7165811707905854,0.293956133756088,0.4430813194393122,0.37
social,1:100,0.009900990099009901,0.8063301353895813,0.7165811707905854,0.039970132404119244,0.0765384500814918,0.37
social,1:1000,0.000999000999000999,0.8063301353895813,0.7165811707905854,0.004146163680565129,0.008254271583249696,0.37
creative,1:1,0.5,0.9330704576112898,0.8922701230393538,0.9330704576112898,0.9158221724295972,0.6
creative,1:10,0.09090909090909091,0.9330704576112898,0.8922701230393538,0.5823079911928507,0.7068626680292431,0.6
creative,1:100,0.009900990099009901,0.9330704576112898,0.8922701230393538,0.1223534534371088,0.21539788243184976,0.6
creative,1:1000,0.000999000999000999,0.9330704576112898,0.8922701230393538,0.013749403662430118,0.027084663670646623,0.6
all,1:1,0.5,0.7596279416859891,0.6733309452379886,0.8330397386067087,0.8652248227552026,0.345
all,1:10,0.09090909090909091,0.7596279416859891,0.6733309452379886,0.33286407774621074,0.48598607356111445,0.345
all,1:100,0.009900990099009901,0.7596279416859891,0.6733309452379886,0.047523338916494746,0.09027956513934317,0.345
all,1:1000,0.000999000999000999,0.7596279416859891,0.6733309452379886,0.004964678166453601,0.009874883233801899,0.345
