source_model,detector,n_samples,auc,accuracy,mean_ai_prob
Gemma-2-9B,all,3994,0.753,0.5964,0.2733
Gemma-2-9B,news,3994,0.8323,0.7361,0.3959
Gemma-2-9B,academic,3994,0.4244,0.4997,0.0124
Gemma-2-9B,social,3994,0.6906,0.6332,0.4615
Gemma-2-9B,creative,3994,0.7134,0.5891,0.6935
Mistral-7B,all,3993,0.8604,0.74,0.3568
Mistral-7B,news,3993,0.8983,0.8189,0.4641
Mistral-7B,academic,3993,0.6349,0.5051,0.0327
Mistral-7B,social,3993,0.8827,0.7914,0.597
Mistral-7B,creative,3993,0.8707,0.6314,0.7533
Qwen-2-72B,all,3992,0.8691,0.7713,0.3797
Qwen-2-72B,news,3992,0.8914,0.8244,0.4749
Qwen-2-72B,academic,3992,0.7211,0.5158,0.0539
Qwen-2-72B,social,3992,0.9052,0.7898,0.6147
Qwen-2-72B,creative,3992,0.8798,0.629,0.758
Llama-8B,all,3991,0.6273,0.5289,0.2185
Llama-8B,news,3991,0.7276,0.6397,0.3284
Llama-8B,academic,3991,0.5062,0.5006,0.0184
Llama-8B,social,3991,0.7263,0.678,0.4918
Llama-8B,creative,3991,0.6687,0.5575,0.6773
Yi-Large,all,3994,0.7269,0.6124,0.2776
Yi-Large,news,3994,0.7568,0.6527,0.3457
Yi-Large,academic,3994,0.6226,0.5025,0.0275
Yi-Large,social,3994,0.8083,0.7346,0.5459
Yi-Large,creative,3994,0.8273,0.6327,0.7366
GPT-4o,all,3995,0.3413,0.4541,0.1296
GPT-4o,news,3995,0.3774,0.4365,0.1589
GPT-4o,academic,3995,0.3931,0.4994,0.0109
GPT-4o,social,3995,0.3812,0.3642,0.2974
GPT-4o,creative,3995,0.6373,0.6083,0.6716
