register,classifier,auc_mean,auc_sd,acc_mean,f1_mean
academic,RF,0.9782817559625159,0.0015881524743271314,0.9474658880849326,0.8061858354238518
academic,LR,0.9723874801249475,0.0017073810846054793,0.9391358272740378,0.7735227287401377
news,RF,0.976611785,0.00112015167177037,0.92211,0.9233879107940386
news,LR,0.898717836,0.0006855383356049403,0.81777,0.8130480394136116
social,RF,0.933322005,0.0015859382515659448,0.8609199999999999,0.85754656561221
social,LR,0.8365475400000001,0.0019794820173974575,0.7569799999999999,0.7506484510025365
creative,RF,0.973160071,0.0006628338009063628,0.91737,0.9179773416186725
creative,LR,0.922928236,0.0020660411781240383,0.8584800000000001,0.865528493126335
all,RF,0.940698611994548,0.0006491217329528805,0.869648796493849,0.8262227999499485
all,LR,0.7819917897940534,0.002002107702796042,0.7190450148996514,0.5796960272958718
